epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,811.462,1.25068,0.68329,0.85414,0.95362,0.90975,0.977,0.62577,1.23828,0.62701,0.89436,0.000713,0.000713,0.000713
67,825,1.29719,0.69891,0.88827,0.9036,0.91243,0.95624,0.58865,1.44087,0.69481,0.89827,0.0006932,0.0006932,0.0006932
68,836.883,1.3307,0.69952,0.86487,0.94853,0.90265,0.97303,0.59519,1.30389,0.67191,0.90217,0.0006734,0.0006734,0.0006734
69,848.791,1.25425,0.65474,0.84872,0.92449,0.88496,0.95126,0.6194,1.26307,0.66471,0.88645,0.0006536,0.0006536,0.0006536
70,860.707,1.30506,0.67942,0.84698,0.92234,0.89381,0.94279,0.61147,1.22588,0.66774,0.87966,0.0006338,0.0006338,0.0006338
71,872.652,1.15934,0.65189,0.87763,0.94976,0.83648,0.96364,0.63382,1.17673,0.64994,0.87042,0.000614,0.000614,0.000614
72,886.39,1.16892,0.63937,0.85685,0.90455,0.9292,0.96207,0.63083,1.1871,0.64585,0.8721,0.0005942,0.0005942,0.0005942
73,898.198,1.19524,0.64506,0.83044,0.90502,0.9292,0.96524,0.61517,1.22898,0.67122,0.87953,0.0005744,0.0005744,0.0005744
74,909.997,1.18986,0.6344,0.8437,0.87768,0.92035,0.96051,0.63913,1.20345,0.63592,0.8771,0.0005546,0.0005546,0.0005546
75,923.651,1.20788,0.6808,0.84101,0.92593,0.92035,0.9687,0.62306,1.23726,0.62714,0.87938,0.0005348,0.0005348,0.0005348
76,935.467,1.27065,0.64747,0.8376,0.89918,0.89381,0.96045,0.62375,1.22683,0.64352,0.8748,0.000515,0.000515,0.000515
77,947.258,1.26743,0.66629,0.85361,0.9108,0.90265,0.9591,0.60914,1.26976,0.65435,0.88254,0.0004952,0.0004952,0.0004952
78,959.031,1.21972,0.64857,0.8558,0.92139,0.93359,0.96173,0.60946,1.23369,0.65129,0.87926,0.0004754,0.0004754,0.0004754
79,970.812,1.19588,0.63706,0.87369,0.92987,0.92035,0.96443,0.62739,1.20004,0.62016,0.89674,0.0004556,0.0004556,0.0004556
80,982.597,1.1674,0.62414,0.83504,0.90947,0.93805,0.96579,0.64513,1.16394,0.62381,0.88148,0.0004358,0.0004358,0.0004358
81,996.311,1.13043,0.6213,0.83094,0.93735,0.9115,0.97081,0.67056,1.13429,0.61121,0.88067,0.000416,0.000416,0.000416
82,1009.98,1.128,0.6142,0.85769,0.94571,0.92493,0.97645,0.67133,1.1237,0.61057,0.87754,0.0003962,0.0003962,0.0003962
83,1023.7,1.17173,0.62798,0.8478,0.94244,0.90265,0.97566,0.65499,1.18793,0.61693,0.86997,0.0003764,0.0003764,0.0003764
84,1035.47,1.09648,0.62256,0.83709,0.90402,0.91688,0.96813,0.64126,1.18824,0.61259,0.86719,0.0003566,0.0003566,0.0003566
85,1047.25,1.17022,0.59725,0.83294,0.92272,0.93805,0.97768,0.65705,1.15669,0.62231,0.86382,0.0003368,0.0003368,0.0003368
86,1059.04,1.15884,0.61874,0.83782,0.92927,0.90265,0.97339,0.63884,1.20202,0.59633,0.87374,0.000317,0.000317,0.000317
87,1070.82,1.14067,0.62416,0.83857,0.92096,0.93805,0.96218,0.63924,1.20455,0.60188,0.87152,0.0002972,0.0002972,0.0002972
88,1082.61,1.11396,0.58453,0.83467,0.9249,0.9292,0.9667,0.64795,1.14522,0.59854,0.87692,0.0002774,0.0002774,0.0002774
89,1094.41,1.132,0.61792,0.83048,0.93385,0.93805,0.96947,0.66451,1.11281,0.58157,0.87096,0.0002576,0.0002576,0.0002576
90,1106.2,1.11301,0.58166,0.81095,0.93521,0.9292,0.97255,0.66951,1.12312,0.57163,0.86837,0.0002378,0.0002378,0.0002378
91,1118.29,1.08652,0.58298,0.83362,0.93428,0.92035,0.97622,0.6554,1.13043,0.58996,0.86921,0.000218,0.000218,0.000218
92,1129.98,1.07933,0.58524,0.8255,0.92069,0.92462,0.9746,0.64755,1.14175,0.58967,0.87366,0.0001982,0.0001982,0.0001982
93,1141.67,1.08768,0.553,0.82059,0.90441,0.92107,0.97177,0.65951,1.1299,0.58085,0.86781,0.0001784,0.0001784,0.0001784
94,1153.36,1.06762,0.5636,0.83372,0.9291,0.92772,0.97417,0.64534,1.15056,0.58081,0.86709,0.0001586,0.0001586,0.0001586
95,1165.05,1.07388,0.56033,0.82722,0.92017,0.9115,0.97102,0.64597,1.11142,0.58327,0.8678,0.0001388,0.0001388,0.0001388
96,1176.74,1.03854,0.54143,0.80039,0.93461,0.92035,0.97361,0.66454,1.09507,0.57491,0.87073,0.000119,0.000119,0.000119
97,1188.45,1.03275,0.54944,0.82344,0.91564,0.90265,0.97161,0.65843,1.11486,0.56429,0.86886,9.92e-05,9.92e-05,9.92e-05
98,1200.13,0.99545,0.54589,0.82182,0.91982,0.88496,0.97238,0.65674,1.1193,0.56496,0.86825,7.94e-05,7.94e-05,7.94e-05
99,1211.86,1.04514,0.5295,0.81803,0.9108,0.9292,0.97483,0.67243,1.07842,0.56138,0.8643,5.96e-05,5.96e-05,5.96e-05
100,1225.54,1.00642,0.52645,0.81813,0.914,0.92035,0.97263,0.66496,1.08378,0.55483,0.86156,3.98e-05,3.98e-05,3.98e-05
